#                      Published-Value                         |                      NED-Homogenized-Values                   
#      Spectral-axis           Intensity         Uncertainty   |          Spectral-axis           Intensity         Uncertainty
#         [Angstrom]      [erg/cm^2/s/A]      [erg/cm^2/s/A]   |                   [Hz]          [W/m^2/Hz]          [W/m^2/Hz]
             2409.91          1.2552e-13                       |         1.24399857e+15      2.43160974e-28                    
             2421.03          1.2943e-13                       |         1.23828478e+15      2.53054805e-28                    
             2426.61          1.4099e-13                       |         1.23543733e+15      2.76928448e-28                    
             2437.81          1.3661e-13                       |         1.22976138e+15      2.70808003e-28                    
             2449.06          1.4515e-13                       |         1.22411235e+15      2.90399046e-28                    
             2460.37          1.4458e-13                       |         1.21848526e+15      2.91936476e-28                    
             2471.72          1.4172e-13                       |         1.21289005e+15      2.88807843e-28                    
             2477.42          1.3602e-13                       |         1.21009945e+15      2.78471879e-28                    
             2488.86          1.3425e-13                       |         1.20453725e+15      2.77392379e-28                    
             2500.35          1.2452e-13                       |         1.19900198e+15      2.59668948e-28                    
             2511.89          1.4573e-13                       |         1.19349358e+15      3.06711101e-28                    
             2517.68          1.2409e-13                       |         1.19074886e+15      2.62371791e-28                    
             2523.48          1.2644e-13                       |         1.18801203e+15      2.68573721e-28                    
              2529.3          1.2332e-13                       |         1.18527837e+15      2.63156135e-28                    
             2540.97          1.2834e-13                       |         1.17983470e+15      2.76401506e-28                    
             2546.83          1.2692e-13                       |         1.17712002e+15      2.74605526e-28                    
             2558.59          1.4186e-13                       |         1.17170965e+15      3.09770921e-28                    
              2570.4          1.3433e-13                       |         1.16632609e+15      2.96042277e-28                    
             2576.32          1.4367e-13                       |         1.16364605e+15      3.18086324e-28                    
             2588.21           1.405e-13                       |         1.15830037e+15      3.13945774e-28                    
             2600.16          1.3709e-13                       |         1.15297697e+15      3.09161366e-28                    
             2612.16          1.3193e-13                       |         1.14768031e+15      3.00277235e-28                    
             2618.18          1.2898e-13                       |         1.14504144e+15      2.94917586e-28                    
             2630.27          1.3767e-13                       |         1.13977827e+15      3.17701504e-28                    
             2636.33          1.5136e-13                       |         1.13715832e+15      3.50905325e-28                    
              2648.5          1.6996e-13                       |         1.13193301e+15      3.97672878e-28                    
             2660.72          1.8395e-13                       |         1.12673434e+15      4.34387617e-28                    
             2666.86          1.5519e-13                       |         1.12414022e+15      3.68165817e-28                    
             2679.17          1.6527e-13                       |         1.11897513e+15      3.95707121e-28                    
             2691.54          1.6964e-13                       |         1.11383245e+15      4.09929560e-28                    
             2697.74          1.5513e-13                       |         1.11127262e+15      3.76595625e-28                    
             2710.19          1.6446e-13                       |         1.10616768e+15      4.02938772e-28                    
             2716.44          1.4936e-13                       |         1.10362261e+15      3.67632446e-28                    
             2728.98          1.4574e-13                       |         1.09855132e+15      3.62041843e-28                    
             2741.57          1.5557e-13                       |         1.09350649e+15      3.90035220e-28                    
             2747.89          1.2826e-13                       |         1.09099148e+15      3.23049608e-28                    
             2760.58          1.3566e-13                       |         1.08597635e+15      3.44851233e-28                    
             2766.94          1.4508e-13                       |         1.08348016e+15      3.70498391e-28                    
             2779.71          1.5239e-13                       |         1.07850265e+15      3.92766776e-28                    
             2792.54          1.3499e-13                       |         1.07354759e+15      3.51139510e-28                    
             2798.98          1.0703e-13                       |         1.07107753e+15      2.79694812e-28                    
              2811.9          1.1451e-13                       |         1.06615619e+15      3.02010786e-28                    
